querie,clicks,impressions,ctr,position
rotten tomatoes significato,0,1,0.00%,72.0
s a n t o,0,1,0.00%,26.0
saul goodman better call saul,0,1,0.00%,95.0
sauron film,0,1,0.00%,63.0
scarface regia,0,1,0.00%,95.0
scegli film,0,1,0.00%,88.0
scegli un film,0,1,0.00%,82.0
scegliere film,0,1,0.00%,85.0
scott pilgrim - la serie,0,1,0.00%,94.0
scream vi,0,1,0.00%,65.0
secretary wikipedia,0,1,0.00%,82.0
seinfeld bee movie,0,1,0.00%,46.0
self less trama,0,1,0.00%,81.0
self/less trama,0,1,0.00%,80.0
serie da guardare assolutamente,0,1,0.00%,38.0
serie empire,0,1,0.00%,82.0
serie kingdom,0,1,0.00%,84.0
serie la casa di carta,0,1,0.00%,72.0
serie nikita,0,1,0.00%,70.0
serie power rangers,0,1,0.00%,87.0
serie sabrina vita da strega,0,1,0.00%,99.0
serie simili a stranger things,0,1,0.00%,41.0
serie tv bonanza,0,1,0.00%,67.0
serie tv di streghe,0,1,0.00%,93.0
serie tv salem,0,1,0.00%,82.0
serie tv simile a breaking bad,0,1,0.00%,12.0
serie tv smallville,0,1,0.00%,73.0
series seinfeld,0,1,0.00%,78.0
settembre film 2022,0,1,0.00%,95.0
shadow force pieno del cinema,0,1,0.00%,38.0
shame film significato,0,1,0.00%,97.0
shameless,0,1,0.00%,75.0
shameless serie,0,1,0.00%,81.0
sherlock holmes 1 movie,0,1,0.00%,66.0
sherlock holmes 2009,0,1,0.00%,90.0
shutter islanf,0,1,0.00%,80.0
signorina agatha trinciabue,0,1,0.00%,69.0
simons film,0,1,0.00%,40.0
sinfonia della fattoria,0,1,0.00%,40.0
skylight,0,1,0.00%,45.0
sleepers tommy,0,1,0.00%,89.0
sleeping.dogs.2024,0,1,0.00%,48.0
smallville prima serie,0,1,0.00%,65.0
smallville tv series,0,1,0.00%,72.0
sole a,0,1,0.00%,100.0
sole a catinelle,0,1,0.00%,93.0
sopravvissuto film,0,1,0.00%,100.0
sopravvissuto the martian,0,1,0.00%,97.0
sorelle sbagliate serie tv,0,1,0.00%,94.0
sospetti in famiglia,0,1,0.00%,60.0
space time,0,1,0.00%,69.0
space/time,0,1,0.00%,67.0
spider man miles morales film,0,1,0.00%,78.0
spider-man - film 1,0,1,0.00%,81.0
spider-man: un nuovo universo,0,1,0.00%,97.0
spiderman 3,0,1,0.00%,80.0
spiderman fil,0,1,0.00%,93.0
spiderman film 1,0,1,0.00%,72.0
spiderman primo film,0,1,0.00%,93.0
spiderman the amazing 2,0,1,0.00%,77.0
splitsville film,0,1,0.00%,65.0
spongebob il film,0,1,0.00%,91.0
star trek serie original,0,1,0.00%,95.0
star wars the clone wars film 2008,0,1,0.00%,87.0
star wars the clone wars maul,0,1,0.00%,86.0
storia di bruce lee film,0,1,0.00%,82.0
streaming commenti,0,1,0.00%,86.0
strega d amore,0,1,0.00%,59.0
streghe cartone,0,1,0.00%,72.0
streghe poteri,0,1,0.00%,50.0
streghe telefilm,0,1,0.00%,80.0
subject two,0,1,0.00%,76.0
survive,0,1,0.00%,93.0
survivor italia 2001,0,1,0.00%,54.0
su×bad - tre menti sopra il pelo,0,1,0.00%,16.0
swimfan,0,1,0.00%,61.0
teamto,0,1,0.00%,85.0
ted film,0,1,0.00%,82.0
teen titans 2003,0,1,0.00%,69.0
tenero e violento,0,1,0.00%,29.0
terminator 1991,0,1,0.00%,64.0
terminator 2 film,0,1,0.00%,81.0
terminator 2 film wiki,0,1,0.00%,53.0
terminator 2 trama,0,1,0.00%,86.0
terminator il giorno del giudizio,0,1,0.00%,64.0
the amazing spider man,0,1,0.00%,74.0
the amazing spider-man,0,1,0.00%,73.0
the amazing spiderman,0,1,0.00%,76.0
the andy griffith show,0,1,0.00%,58.0
the bad seed returns,0,1,0.00%,54.0
the batman 2004,0,1,0.00%,70.0
the batman 2004 batman,0,1,0.00%,108.0
the beast of me,0,1,0.00%,95.0
the conjuring 2021,0,1,0.00%,77.0
the crash incidente o omicidio,0,1,0.00%,53.0
the district,0,1,0.00%,49.0
the end evangelion,0,1,0.00%,78.0
the enemy 2013,0,1,0.00%,76.0
the equaliser 3,0,1,0.00%,94.0
the equalizer serie,0,1,0.00%,98.0
the equilizer 3,0,1,0.00%,89.0
the eternals,0,1,0.00%,95.0
the fighter,0,1,0.00%,85.0
the fighter movies,0,1,0.00%,67.0
the informer movie,0,1,0.00%,32.0
the madness,0,1,0.00%,89.0
the man from toronto,0,1,0.00%,73.0
the martian film,0,1,0.00%,99.0
the marts,0,1,0.00%,94.0
the millionaire film storia vera,0,1,0.00%,100.0
the moment del cinemas,0,1,0.00%,33.0
the movie honor society,0,1,0.00%,56.0
the omen ii,0,1,0.00%,68.0
the outfit netflix,0,1,0.00%,74.0
the piglet,0,1,0.00%,66.0
the plague 2025,0,1,0.00%,68.0
the punisher 2004,0,1,0.00%,77.0
the rock 1996,0,1,0.00%,80.0
the rock 1996 film,0,1,0.00%,78.0
the rock film 1996,0,1,0.00%,78.0
the rooster film,0,1,0.00%,25.0
the show fosters,0,1,0.00%,42.0
the siege of ruby ridge movie,0,1,0.00%,71.0
the sisters,0,1,0.00%,85.0
the stranger 2024,0,1,0.00%,23.0
the ticket film,0,1,0.00%,76.0
the ticket movie,0,1,0.00%,77.0
the truth about jane,0,1,0.00%,72.0
thor 1 thor,0,1,0.00%,86.0
thor film movie,0,1,0.00%,71.0
tokyo ghoul trama,0,1,0.00%,93.0
tom cruise top gun film,0,1,0.00%,82.0
tony lo svelto,0,1,0.00%,87.0
totaro film,0,1,0.00%,88.0
trama di eclipse,0,1,0.00%,99.0
transatlantico poseidon,0,1,0.00%,81.0
triangle,0,1,0.00%,96.0
trinciabue matilda,0,1,0.00%,75.0
truman show truman,0,1,0.00%,91.0
tutte le ragazze,0,1,0.00%,84.0
tutto quello che voglio,0,1,0.00%,77.0
tv serie salem,0,1,0.00%,73.0
tv series canon,0,1,0.00%,65.0
tv series nikita,0,1,0.00%,61.0
tv shows with lucifer,0,1,0.00%,84.0
tv tabù,0,1,0.00%,69.0
ultimo mohicani,0,1,0.00%,84.0
ultimo moicani,0,1,0.00%,64.0
un fidanzato venuto dal futuro,0,1,0.00%,47.0
un viaggio verso un sogno,0,1,0.00%,53.0
una pallottola spuntat,0,1,0.00%,88.0
unfaithful l amore infedele,0,1,0.00%,43.0
uno di famiglia 2025,0,1,0.00%,90.0
untogether,0,1,0.00%,81.0
untouchable film 2011,0,1,0.00%,64.0
up down film,0,1,0.00%,83.0
vacancy 2007,0,1,0.00%,69.0
vacancy film,0,1,0.00%,79.0
vanished serie tv 2026,0,1,0.00%,83.0
velluto nero,0,1,0.00%,96.0
venom film 2018,0,1,0.00%,95.0
vita da jim,0,1,0.00%,82.0
vita secondo jim,0,1,0.00%,76.0
walk to remember film,0,1,0.00%,66.0
war machine 2017,0,1,0.00%,94.0
william shakespeare romeo and juliet film,0,1,0.00%,53.0
winter on fire film,0,1,0.00%,72.0
woman scorned,0,1,0.00%,72.0
wordwall mare fuori,0,1,0.00%,72.0
xanadu 1980,0,1,0.00%,43.0
young sherlock holmes 2026,0,1,0.00%,75.0
yugi muto,0,1,0.00%,79.0
élite,0,1,0.00%,72.0
